id,title,description,level,preferredMajor,openingDate,closingDate,status,companyName,repID,slots,visible
INT013,Frontend Developer,React and TypeScript,ADVANCED,Computer Science,2025-04-01,2027-12-31,APPROVED,Digital Agency,james.wong@digital.com,2,true
INT024,Database Admin,Database management,ADVANCED,Computer Science,2025-01-05,2027-12-31,APPROVED,NonExistent Company,nonexistent@company.com,3,true
INT001,Software Engineer Intern,Full-stack development internship,INTERMEDIATE,Computer Science,2025-01-01,2027-06-30,APPROVED,TechCorp,john.doe@techcorp.com,4,true
INT010,Production Engineer,Manufacturing processes,INTERMEDIATE,Engineering,2025-01-25,2027-12-31,APPROVED,Manufacturing Ltd,lisa.ng@manufacturing.com,5,true
INT006,Operations Coordinator,Supply chain operations,INTERMEDIATE,Logistics,2025-04-01,2027-09-30,APPROVED,Tech Singapore,emma.brown@tech.sg,3,true
INT028,Embedded Systems,IoT device programming,INTERMEDIATE,Computer Engineering,2025-05-01,2027-12-31,APPROVED,Manufacturing Ltd,lisa.ng@manufacturing.com,3,true
INT005,Financial Analyst,Corporate finance analysis,ADVANCED,Finance,2025-02-15,2027-12-31,REJECTED,Global Industries,david.lee@global.com,1,false
INT038,Research Intern,Algorithm research,ADVANCED,Computer Science,2025-01-01,2027-12-31,APPROVED,Innovate Solutions,jane.smith@innovate.com,2,true
INT004,HR Assistant,Human resources operations,BASIC,HR Management,2025-03-01,2027-08-31,APPROVED,Enterprise Co,alice.chen@enterprise.com,4,true
INT037,Tech Lead Intern,Team leadership experience,ADVANCED,Computer Science,2025-07-01,2027-12-31,APPROVED,Software House,michael.tan@software.com,1,true
INT003,Sales Associate,B2B sales experience,BASIC,Business,2025-01-15,2027-12-31,PENDING,StartUp Inc,bob.wilson@startup.io,2,false
INT036,Site Reliability,Production systems monitoring,ADVANCED,Computer Science,2025-02-05,2027-12-31,APPROVED,TechCorp,john.doe@techcorp.com,2,true
INT009,UX/UI Designer,Digital product design,INTERMEDIATE,Design,2025-02-20,2027-12-31,APPROVED,Digital Agency,james.wong@digital.com,4,true
INT008,Strategy Consultant,Business strategy projects,ADVANCED,Business Strategy,2025-03-15,2027-12-31,PENDING,Consulting Group,sarah.kumar@consulting.com,2,true
INT007,Software Developer,Backend development with Python,ADVANCED,Computer Science,2025-01-10,2027-12-31,APPROVED,Software House,michael.tan@software.com,2,true
INT040,Performance Engineer,System optimization,ADVANCED,Computer Science,2025-04-20,2027-12-31,APPROVED,Software House,michael.tan@software.com,3,true
